#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
59167.fa	NODE_61_length_13126_cov_218.130968	5993	7147	+	(Gly)vanS-A	1-1155/1155	===============	0/0	100.00	100.00	argannot	M97297:4649-5803	(Gly)vanS-A	
59167.fa	NODE_61_length_13126_cov_218.130968	7362	8330	+	(Gly)vanH-A	1-969/969	===============	0/0	100.00	100.00	argannot	FJ866609:3762-4730	(Gly)vanH-A	
59167.fa	NODE_61_length_13126_cov_218.130968	8323	9354	+	(Gly)vanA-A	1-1032/1032	===============	0/0	100.00	100.00	argannot	M97297:6979-8010	(Gly)vanA-A	
59167.fa	NODE_61_length_13126_cov_218.130968	9360	9968	+	(Gly)vanX-A	1-609/609	===============	0/0	100.00	100.00	argannot	M97297:8016-8624	(Gly)vanX-A	
59167.fa	NODE_61_length_13126_cov_218.130968	10396	11307	+	(Gly)vanY-A	1-912/912	===============	0/0	100.00	100.00	argannot	M97297:9052-9963	(Gly)vanY-A	
59167.fa	NODE_61_length_13126_cov_218.130968	11460	11945	+	(Gly)vanZ-A	1-486/486	===============	0/0	100.00	100.00	argannot	M97297:10116-10601	(Gly)vanZ-A	
59168.gbk	contig_13	11311	11859	+	(AGly)aac6-Ii	1-549/549	===============	0/0	100.00	99.45	argannot	L12710:169-717	(AGly)aac6-Ii	
59168.gbk	contig_32	22452	24371	+	(Tet)tetM	1-1920/1920	===============	0/0	100.00	94.48	argannot	DQ534550:1451-3370	(Tet)tetM	
59168.gbk	contig_40	5331	6026	+	(Gly)vanR-A	1-696/696	===============	0/0	100.00	100.00	argannot	M97297:3976-4671	(Gly)vanR-A	
59168.gbk	contig_40	6004	7158	+	(Gly)vanS-A	1-1155/1155	===============	0/0	100.00	100.00	argannot	M97297:4649-5803	(Gly)vanS-A	
59168.gbk	contig_40	7373	8341	+	(Gly)vanH-A	1-969/969	===============	0/0	100.00	100.00	argannot	FJ866609:3762-4730	(Gly)vanH-A	
59168.gbk	contig_40	8334	9365	+	(Gly)vanA-A	1-1032/1032	===============	0/0	100.00	100.00	argannot	M97297:6979-8010	(Gly)vanA-A	
59168.gbk	contig_40	9371	9979	+	(Gly)vanX-A	1-609/609	===============	0/0	100.00	100.00	argannot	M97297:8016-8624	(Gly)vanX-A	
59168.gbk	contig_40	10407	11318	+	(Gly)vanY-A	1-912/912	===============	0/0	100.00	100.00	argannot	M97297:9052-9963	(Gly)vanY-A	
59168.gbk	contig_40	11471	11956	+	(Gly)vanZ-A	1-486/486	===============	0/0	100.00	100.00	argannot	M97297:10116-10601	(Gly)vanZ-A	
59168.gbk	contig_5	80182	81660	-	(MLS)msr(C)	1-1479/1479	===============	0/0	100.00	98.72	argannot	AY004350:496-1974	(MLS)msr(C)	
HV114-1.fa	NODE_29_length_61986_cov_52.655882	2347	3150	+	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA	
HV114-1.fa	NODE_29_length_61986_cov_52.655882	3150	3986	+	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
HV114-1.fa	NODE_35_length_51637_cov_62.778704	2377	3252	+	(Bla)blaCTX-M-1	1-876/876	===============	0/0	100.00	100.00	argannot	X92506:63-938	(Bla)blaCTX-M-1	
HV114-1.fa	NODE_3_length_314653_cov_52.379937	144654	145811	+	(Bla)ampH_Ecoli	1-1158/1158	===============	0/0	100.00	98.70	argannot	AP012030:395554-396711	(Bla)ampH_Ecoli	
HV114-1.fa	NODE_45_length_29916_cov_73.495090	20357	21172	-	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
HV114-1.fa	NODE_45_length_29916_cov_73.495090	23574	24362	-	(AGly)aadA5	1-789/789	===============	0/0	100.00	100.00	argannot	AF137361:64-852	(AGly)aadA5	
HV114-1.fa	NODE_45_length_29916_cov_73.495090	24493	24966	-	(Tmt)dfrA17	1-474/474	===============	0/0	100.00	100.00	argannot	AB126604:98-571	(Tmt)dfrA17	
HV114-1.fa	NODE_47_length_24772_cov_48.981251	1394	2698	-	(Bla)AmpC1_Ecoli	1-1305/1305	===============	0/0	100.00	98.16	argannot	FN649414:2765051-2766355	(Bla)AmpC1_Ecoli	
HV114-1.fa	NODE_57_length_18846_cov_62.346369	13051	14184	+	(Bla)AmpC2_Ecoli	1-1134/1134	===============	0/0	100.00	97.71	argannot	CP002970:332756-333889	(Bla)AmpC2_Ecoli	
HV114-1.fa	NODE_70_length_6723_cov_45.316280	1365	2570	-	(Tet)tetB	1-1206/1206	===============	0/0	100.00	99.67	argannot	AB089594:1-1206	(Tet)tetB	
HV114-1.fa	NODE_8_length_139916_cov_49.601642	29339	31240	+	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	99.42	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli	
HV292.fa	contig00001	453144	454448	+	(Bla)AmpC1_Ecoli	1-1305/1305	===============	0/0	100.00	98.16	argannot	FN649414:2765051-2766355	(Bla)AmpC1_Ecoli	
HV292.fa	contig00002	255632	256765	+	(Bla)AmpC2_Ecoli	1-1134/1134	===============	0/0	100.00	97.53	argannot	CP002970:332756-333889	(Bla)AmpC2_Ecoli	
HV292.fa	contig00011	60484	62385	+	(Bla)Penicillin_Binding_Protein_Ecoli	1-1902/1902	===============	0/0	100.00	99.37	argannot	CP002291:664439-666340	(Bla)Penicillin_Binding_Protein_Ecoli	
HV292.fa	contig00021	25805	26962	-	(Bla)ampH_Ecoli	1-1158/1158	===============	0/0	100.00	99.31	argannot	AP012030:395554-396711	(Bla)ampH_Ecoli	
HV292.fa	contig00025	30239	31054	-	(Sul)sul2	1-816/816	===============	0/0	100.00	100.00	argannot	EU360945:1617-2432	(Sul)sul2	
HV292.fa	contig00025	33456	34244	-	(AGly)aadA5	1-789/789	===============	0/0	100.00	100.00	argannot	AF137361:64-852	(AGly)aadA5	
HV292.fa	contig00025	34375	34848	-	(Tmt)dfrA17	1-474/474	===============	0/0	100.00	100.00	argannot	AB126604:98-571	(Tmt)dfrA17	
HV292.fa	contig00025	60868	61743	-	(Bla)blaCTX-M-1	1-876/876	===============	0/0	100.00	100.00	argannot	X92506:63-938	(Bla)blaCTX-M-1	
HV292.fa	contig00037	4740	5600	+	(Bla)blaTEM-105	1-861/861	===============	0/0	100.00	99.88	argannot	AF516720:215-1075	(Bla)blaTEM-105	
HV292.fa	contig00037	14582	15787	+	(Tet)tetB	1-1206/1206	===============	0/0	100.00	99.67	argannot	AB089594:1-1206	(Tet)tetB	
HV292.fa	contig00037	20485	21288	+	(AGly)strA	1-804/804	===============	0/0	100.00	100.00	argannot	AB366441:22458-23261	(AGly)strA	
HV292.fa	contig00037	21288	22124	+	(AGly)strB	1-837/837	===============	0/0	100.00	100.00	argannot	FJ474091:264-1100	(AGly)strB	
